-99999653362,99999662302
-99999376014,99999381974
-99997774605,99997769296
-99997376372,99997373856
-99995275960,99995275866
-99994827621,99994828924
-99993287027,99993286840
-99992517196,99992523528
-99987625238,99987616855
-99987184722,99987178854
-99987170101,99987178854
-99985600915,99985602498
-99982638564,99982647411
-99981904217,99981903843
-99980984722,99980990402
-99974870217,99974868912
-99974591751,99974595289
-99974301085,99974300991
-99973871746,99973875284
-99969863799,99969855975
-99968312867,99968317337
-99967609160,99967615585
-99965749588,99965748749
-99963307195,99963307287
-99958415144,99958425015
-99955288880,99955296516
-99954140094,99954139161
-99953015056,99953021574
-99949450605,99949453957
-99945635256,99945640750
-99945624173,99945617094
-99945122842,99945122096
-99942760915,99942761100
-99941893295,99941889010
-99939600844,99939591716
-99937349279,99937348253
-99934259244,99934254866
-99933842849,99933851137
-99930744432,99930746387
-99926348683,99926352966
-99925036543,99925039801
-99919478875,99919477943
-99914365449,99914360418
-99914354459,99914360418
-99912791979,99912783876
-99912581314,99912584666
-99901344162,99901342485
-99895511475,99895520321
-99895072543,99895064067
-99890394975,99890388641
-99888394773,99888384807
-99886655715,99886648170
-99886356388,99886364489
-99883240276,99883243068
-99874837418,99874837696
-99873917364,99873924720
-99873171095,99873174633
-99871371314,99871375318
-99867655058,99867653474
-99865774345,99865768756
-99862699584,99862708151
-99862360955,99862364120
-99857968651,99857974797
-99856887479,99856896977
-99856429641,99856426846
-99851863739,99851872306
-99846664537,99846660159
-99840965774,99840967077
-99835006614,99835004191
-99834163674,99834154453
-99832867645,99832868017
-99832310621,99832311086
-99828801584,99828793201
-99826264941,99826266616
-99825741351,99825737718
-99825438857,99825441464
-99824228790,99824225157
-99824079592,99824078380
-99822308403,99822310823
-99821288325,99821295030
-99811552652,99811562616
-99810946174,99810950271
-99806927238,99806933011
-99806640670,99806635640
-99804973137,99804964847
-99804955535,99804964847
-99802770373,99802762549
-99799851794,99799846485
-99799848348,99799846485
-99798872974,99798878282
-99798763916,99798772111
-99797403627,99797411356
-99795760308,99795763846
-99795554579,99795550200
-99792681635,99792688712
-99790989422,99790992122
-99783801567,99783794861
-99781602901,99781599081
-99779704493,99779710173
-99775409513,99775415565
-99766897690,99766888283
-99765517656,99765519518
-99765256886,99765255581
-99762795680,99762800335
-99761601445,99761593527
-99761284050,99761282931
-99760081433,99760072585
-99746671692,99746676627
-99746644590,99746646266
-99745430425,99745436012
-99743783940,99743783473
-99742070679,99742064997
-99739820604,99739813152
-99739059993,99739060457
-99737063330,99737071897
-99735660199,99735665041
-99735235237,99735236726
-99731838610,99731840193
-99729734380,99729734007
-99729400687,99729398358
-99728165754,99728156067
-99728147779,99728156067
-99725241680,99725234508
-99722367060,99722372088
-99719525408,99719527270
-99719070178,99719079024
-99716012087,99716005846
-99715343863,99715337157
-99714348745,99714343901
-99713070970,99713074508
-99711899367,99711900204
-99709020462,99709024745
-99706970714,99706970434
-99701854959,99701844993
-99700333272,99700338393
-99696284347,99696275684
-99696091190,99696095846
-99695333466,99695337749
-99694162608,99694170430
-99693835341,99693843815
-99693057686,99693058803
-99691289571,99691283609
-99690671545,99690661765
-99690664281,99690661765
-99687324930,99687316734
-99686058145,99686062894
-99684362207,99684366118
-99671597779,99671603273
-99667420052,99667411483
-99667294603,99667286220
-99667283800,99667286220
-99662560504,99662555474
-99662035797,99662045296
-99659573008,99659579433
-99659171515,99659164249
-99653919600,99653918295
-99638700020,99638690333
-99635804538,99635804351
-99633644987,99633647780
-99631883297,99631876777
-99631285668,99631279147
-99630761799,99630760960
-99629386794,99629381298
-99628776126,99628773983
-99628352560,99628344457
-99627635628,99627639725
-99627506826,99627511668
-99627189152,99627184681
-99620856252,99620847031
-99619436544,99619440082
-99619249441,99619248695
-99617391732,99617400485
